url,mobile_performance,mobile_accessibility,mobile_best_practices,mobile_seo,desktop_performance,desktop_accessibility,desktop_best_practices,desktop_seo,mobile_report,desktop_report
https://task.by/,75,80,100,100,89,80,100,100,reports/0001_index-mobile.html,reports/0001_index-desktop.html
https://task.by/person,87,86,100,100,100,86,100,100,reports/0002_person-mobile.html,reports/0002_person-desktop.html
https://task.by/person/auto,92,86,100,100,97,86,100,100,reports/0003_person_auto-mobile.html,reports/0003_person_auto-desktop.html
https://task.by/person/auto/osago,78,84,100,100,95,84,100,100,reports/0004_person_auto_osago-mobile.html,reports/0004_person_auto_osago-desktop.html
https://task.by/person/auto/kasko,86,85,100,100,96,84,100,100,reports/0005_person_auto_kasko-mobile.html,reports/0005_person_auto_kasko-desktop.html
https://task.by/person/property,92,86,100,100,97,86,100,100,reports/0006_person_property-mobile.html,reports/0006_person_property-desktop.html
https://task.by/person/property/house,86,85,100,100,95,85,100,100,reports/0007_person_property_house-mobile.html,reports/0007_person_property_house-desktop.html
https://task.by/person/health,92,87,100,100,97,87,100,100,reports/0008_person_health-mobile.html,reports/0008_person_health-desktop.html
https://task.by/person/health/abroad,75,84,100,100,95,84,100,100,reports/0009_person_health_abroad-mobile.html,reports/0009_person_health_abroad-desktop.html
https://task.by/corporate,85,86,96,100,97,86,100,100,reports/0010_corporate-mobile.html,reports/0010_corporate-desktop.html
https://task.by/corporate/transport,80,86,96,100,97,86,100,100,reports/0011_corporate_transport-mobile.html,reports/0011_corporate_transport-desktop.html
https://task.by/corporate/transport/strahovanie_kasko,87,84,100,100,95,84,100,100,reports/0012_corporate_transport_strahovanie_kasko-mobile.html,reports/0012_corporate_transport_strahovanie_kasko-desktop.html
https://task.by/corporate/health,92,86,96,100,97,86,100,100,reports/0013_corporate_health-mobile.html,reports/0013_corporate_health-desktop.html
https://task.by/corporate/property,87,86,96,100,97,86,100,100,reports/0014_corporate_property-mobile.html,reports/0014_corporate_property-desktop.html
https://task.by/corporate/property/strahovanie_imuschestva,86,84,100,100,99,84,100,100,reports/0015_corporate_property_strahovanie_imuschestva-mobile.html,reports/0015_corporate_property_strahovanie_imuschestva-desktop.html
https://task.by/corporate/responsibility,92,81,100,100,96,86,100,100,reports/0016_corporate_responsibility-mobile.html,reports/0016_corporate_responsibility-desktop.html
https://task.by/corporate/responsibility/cmr,86,78,100,100,99,79,100,100,reports/0017_corporate_responsibility_cmr-mobile.html,reports/0017_corporate_responsibility_cmr-desktop.html
https://task.by/about,92,85,96,100,98,85,100,100,reports/0018_about-mobile.html,reports/0018_about-desktop.html
https://task.by/contact,88,81,100,100,98,86,100,100,reports/0019_contact-mobile.html,reports/0019_contact-desktop.html
https://task.by/press_centr,90,87,100,100,98,87,100,100,reports/0020_press_centr-mobile.html,reports/0020_press_centr-desktop.html
https://task.by/press_centr/news,89,87,100,100,98,87,100,100,reports/0021_press_centr_news-mobile.html,reports/0021_press_centr_news-desktop.html
https://task.by/press_centr/news/2026/otpusk-zhivotnye-i-strakhovka,90,87,100,100,98,87,100,100,reports/0022_press_centr_news_2026_otpusk-zhivotnye-i-strakhovka-mobile.html,reports/0022_press_centr_news_2026_otpusk-zhivotnye-i-strakhovka-desktop.html
https://task.by/press_centr/faq,88,87,100,100,98,87,100,100,reports/0023_press_centr_faq-mobile.html,reports/0023_press_centr_faq-desktop.html
https://task.by/strahovoj_sluchaj,92,87,100,100,98,87,100,100,reports/0024_strahovoj_sluchaj-mobile.html,reports/0024_strahovoj_sluchaj-desktop.html
https://task.by/personal,92,82,96,100,98,82,100,100,reports/0025_personal-mobile.html,reports/0025_personal-desktop.html
